,index,Price,Year,Mileage,City,State,Vin,Make,Model
0,508294,33998,2015,22211,Westborough, MA,1C4RJFCG0FC846328,Jeep,Grand
1,58846,16995,2014,47481,Omaha, NE,KL4CJGSB7EB592147,Buick,EncoreLeather
2,525132,17477,2017,20495,Vero Beach, FL,5XXGT4L36HG132127,Kia,OptimaLX
3,24652,11974,2011,72945,Corona, CA,WBAPH5G57BNM82894,BMW,3
4,816083,32856,2016,9900,Baxley, GA,3TMAZ5CNXGM016146,Toyota,Tacoma2WD
5,271002,21043,2015,14127,Myrtle Beach, SC,1FMCU0JX0FUA60080,Ford,EscapeFWD
6,85015,12000,2014,15164,Columbus, OH,1G1PC5SB9E7248949,Chevrolet,Cruze1LT
7,78231,33990,2015,26841,Blue Ridge, GA,3GYFNDE30FS631820,Cadillac,SRXPremium
8,282799,7595,2007,137117,Westminster, CO,1FMEU73E47UB37242,Ford,Explorer4WD
9,719979,22100,2012,115130,Broken Arrow, OK,1C6RD7NT9CS115591,Ram,15004WD
10,425183,26491,2014,84204,Jacksonville, FL,5FNRL5H92EB085947,Honda,OdysseyTouring
11,161586,22995,2008,72984,Manassas, VA,1GNFK13098R179188,Chevrolet,Tahoe4WD
12,801168,29400,2014,28072,Spring, TX,5TFEM5F11EX082326,Toyota,Tundra
13,313841,34715,2017,15899,Tucson, AZ,1FM5K8F87HGB83584,Ford,Explorer4WD
14,16991,19999,2010,81933,Las Vegas, NV,WAUKGAFL5AA183285,Audi,S44dr
15,696914,27275,2014,26887,Cullman, AL,5N1AR2MM1EC688174,Nissan,PathfinderSL
16,506624,19944,2017,17215,Lawton, OK,ZACCJBBB3HPE86135,Jeep,RenegadeLatitude
17,416120,8281,2008,150768,Irving, TX,5FNYF28598B022802,Honda,Pilot2WD
18,806763,35291,2017,5562,Tulsa, OK,3TMCZ5AN9HM049426,Toyota,Tacoma4WD
19,617504,34991,2009,50085,Daytona Beach, FL,WDBSK71F39F149512,Mercedes-Benz,SL-Class2dr
20,365290,32450,2015,51930,Broken Arrow, OK,3GTP1VEC5FG401706,GMC,Sierra
21,766820,7888,2006,97814,Greenvale, NY,JTDBA32K860026117,Toyota,Camry4dr
22,500931,13331,2008,117093,Wesley Chapel, FL,1J4FA24118L595077,Jeep,Wrangler4WD
23,55774,51998,2016,18454,San Rafael, CA,WBA6F1C55GGT83129,BMW,6
24,831802,22995,2015,14112,Blackwood, NJ,3VW4T7AU3FM104309,Volkswagen,Golf
